TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.229115646,1.45932,0.184925,0.79503,0.0162297,0.349999,1.03213,0.360534,0.107475,1.46263,0.00109767,0.194347,1.6221
2.275555556,1.30838,0.288249,0.996992,0.0177262,0.564768,0.964361,0.191882,0.106234,1.39322,0.000966794,0.170895,1.45541
2.321995465,1.0328,0.243947,1.00158,0.0506025,0.841955,0.799564,0.423344,0.132337,1.42756,0.000627882,0.0747363,1.25972
2.368435374,1.15058,0.136925,0.910821,0.14688,1.26866,0.229288,1.03685,0.288891,1.3174,0.0340287,0.0465237,0.581563
2.414875283,1.12492,0.359524,0.528619,1.07021,1.08898,0.134741,1.30433,0.560874,0.477239,0.410717,0,0.0893674
2.461315193,1.12914,0.371897,0.40425,1.1703,0.912376,0.2049,1.38036,0.476005,0.4973,0.492919,0.00519835,0.0651145
2.507755102,0.674846,0.468643,0.393422,0.856685,0.793606,0.205952,1.26568,0.759671,0.41583,0.340823,0.0923778,0.543996
2.554195011,0.746745,0.363289,0.553555,0.705682,0.974861,0.277507,1.03093,0.66424,0.667937,0.263383,0.0386028,0.649068
2.600634921,0.825504,0.258531,0.707857,0.843959,0.96975,0.262822,1.1999,0.519534,0.664649,0.367927,0.086317,0.522193
2.647074830,0.892874,0.252039,0.719604,0.94007,0.935529,0.287164,1.30572,0.590553,0.535591,0.332535,0.279307,0.499869
2.693514739,0.957783,0.358145,0.739247,0.771762,0.66961,0.265686,1.32248,1.03094,0.434374,0.189946,0.376891,0.623774
2.739954649,0.848064,0.403219,0.741776,0.65203,0.988042,0.261307,1.2598,0.999353,0.519548,0.148839,0.178678,0.711891
2.786394558,0.94742,0.38587,0.629201,0.696472,1.09492,0.0980105,1.33021,0.919601,0.490351,0.194143,0.0972769,0.479691
2.832834467,0.975028,0.336612,0.546289,0.741821,1.09263,0.0424769,1.31643,0.870115,0.481422,0.251069,0.158943,0.354812
2.879274376,1.5279,0.182998,0.575168,0.887459,1.10088,0.0436673,1.10643,0.743122,0.0564424,0.216745,0.142107,0.0639384
2.925714286,2.64291,0.412661,0.877661,0.846844,0.88622,0.206111,0.856547,0.118631,0.0509983,0.282515,0,0.178596
2.972154195,2.45039,0.433589,1.09143,0.565621,0.281364,0.274545,0.743004,0.0863106,0.579638,0.27231,0.0637755,0.22913
3.018594104,1.33333,0.37425,0.84585,0.787426,0.427172,0.298473,0.737716,0.336972,0.648888,0.715813,0.177537,0.239676
3.065034014,0.947531,0.392509,0.913722,0.924858,0.44526,0.538219,0.588326,0.693021,0.584675,0.89459,0.244819,0.254572
3.111473923,0.822179,0.211003,0.752262,0.801513,0.46278,0.751918,0.236133,1.1882,0.834599,0.363812,1.09251,0.211395
3.157913832,0.761443,0.412615,1.44076,0.664262,0.804646,0.189171,0.0898608,1.11689,0.884085,0.000854334,0.977394,0.578812
3.204353741,1.03922,0.321698,0.594314,1.17761,1.05686,0.310088,0.782919,0.725703,0.961409,0.374076,0,0.0568156
3.250793651,1.11148,0.284222,0.400043,1.14065,1.03291,0.102579,1.03494,0.64305,0.92327,0.599008,0,0.0582813
3.297233560,1.02337,0.274816,0.4011,1.08544,0.963287,0.172778,1.16077,0.607544,0.829693,0.740441,0,0.114204
3.343673469,1.00141,0.241501,0.501417,1.11426,0.890198,0.136949,1.19658,0.521236,0.749821,0.787965,0,0.295078
3.390113379,0.933427,0.192745,0.570639,1.1363,0.837216,0.0788474,1.05622,0.628866,0.563434,0.872432,0.0619882,0.426285
3.436553288,1.88794,0.457844,0.612765,1.2414,0.812803,0.000739407,1.07855,0.363428,0.117218,0.560714,0.30419,0.20095
3.482993197,2.52349,0.613273,1.48772,0.356837,0.603917,0.060633,0.87053,0.171501,0.222251,0.395346,0.485401,0.210107
3.529433107,0.920272,0.194906,1.01658,0.0125669,0.326347,1.58797,0.857643,0.145483,1.52042,0.00283428,0,1.26607
3.575873016,1.26674,0.21651,0.548924,0.0158543,0.959169,1.47437,0.0147255,0.141939,1.53327,0.00203057,0.0809508,1.23841
3.622312925,1.22182,0.209251,0.421734,0.0145638,0.454508,1.3965,0,0.119284,1.40342,0.00152997,0.219601,1.43046
3.668752834,1.18917,0.332315,0.633683,0.164762,0.314914,1.16215,0.0239978,0.107423,1.35998,0.00112169,0.0925655,1.52925
3.715192744,1.33368,0.246184,0.584077,0.088545,0.42744,0.948533,0.361949,0.100574,1.36444,0.000923959,0.206602,1.45537
3.761632653,1.40453,0.154191,0.657817,0.178651,0.670979,0.738938,0.539138,0.115038,1.44406,0.000788327,0.0594728,1.22442
3.808072562,1.5203,0.333413,0.796136,0.294143,1.18334,0.320133,0.863259,0.2387,1.28771,0,0.0465446,0.797155
3.854512472,0.94612,0.332925,0.517514,1.23839,1.1278,0.147752,1.09034,0.527507,0.539356,0.713515,0,0.153478
3.900952381,0.730812,0.279518,0.527796,1.23188,0.958284,0.255957,1.19027,0.509319,0.577037,0.625966,0.0568408,0.247612
3.947392290,0.449047,0.170332,0.555915,0.921425,1.26254,0.241864,1.26974,1.043,0.441799,0.0614916,0.407992,1.0739
3.993832200,0.722659,0.211003,0.619478,0.799639,1.07542,0.326079,1.24459,0.990549,0.485751,0.0780099,0.252869,1.15258
4.040272109,0.725423,0.252131,0.538397,0.910398,1.14773,0.224168,1.21735,0.926255,0.494752,0.0684042,0.175402,1.02511
4.086712018,0.63092,0.373167,0.459339,0.902958,1.20886,0.261476,1.33636,0.830018,0.47639,0.0701089,0.072011,0.831404
4.133151927,0.428037,0.295901,0.251338,0.677716,1.00623,0.24043,1.55282,0.868721,0.738748,0.203949,0.0318947,0.246993
4.179591837,0.66053,0.27749,0.133333,0.862688,0.92038,0.288219,1.17642,1.0058,0.651828,0.300868,0.0294452,0.530175
4.226031746,0.86657,0.211883,0.327141,0.977806,0.941245,0.20397,1.29785,0.841651,0.697309,0.383681,0.0525257,0.414317
4.272471655,1.14403,0.264055,0.445413,1.13321,0.91882,0.0934189,1.40398,0.63462,0.694735,0.669893,0.0687201,0.237081
4.318911565,1.50659,0.202659,0.552057,1.2014,0.940808,0.0251422,1.28257,0.364063,0.691791,0.791941,0,0.0747049
4.365351474,2.37705,0.190485,1.11528,0.977698,0.849555,0.0169785,1.10424,0.0592229,0.119803,0.412611,0.302917,0.109226
4.411791383,2.16796,0.532201,1.57457,0.480591,0.222686,0.153352,0.787031,0.209896,0.514881,0.262424,0.378936,0.283582
4.458231293,1.19796,0.533826,1.13826,0.772513,0.212937,0.233463,0.765541,1.08187,0.649852,0.621933,0.410435,0.24187
4.504671202,0.787952,0.705059,1.09035,0.975886,0.265984,0.083196,0.708216,1.5693,0.339934,0.979894,0.56305,0.245719
4.551111111,0.368944,1.27234,1.03159,1.19016,0.324448,0,0.473309,1.78142,0.023549,0.87464,1.17899,0.233195
4.597551020,0.538462,0.597192,1.27282,0.642527,0.456382,0.394777,0.149684,1.50353,0.57161,0.177056,1.26833,0.296418
4.643990930,1.09855,0.351897,0.623242,1.17723,1.02669,0.350434,0.684321,0.70022,1.04551,0.336686,0,0.0478255
4.690430839,1.20993,0.309647,0.423458,1.18771,1.07111,0.0543447,0.979188,0.647663,0.963272,0.548442,0,0.0389631
4.736870748,1.08853,0.28109,0.376425,1.09392,1.0113,0.176513,1.11452,0.598688,0.875984,0.70474,0,0.0745251
4.783310658,1.08065,0.24493,0.476785,1.11415,0.911594,0.144088,1.15583,0.533649,0.798376,0.746489,0,0.261332
4.829750567,1.02591,0.201088,0.540511,1.15005,0.856806,0.0907304,1.03696,0.622149,0.628534,0.83236,0.0759661,0.38406
4.876190476,1.72349,0.381262,0.614576,1.39144,0.784554,0.0466254,0.988248,0.26512,0.0984363,0.693074,0.136808,0.141091
4.922630385,2.5796,0.496347,0.997954,0.778648,0.792792,0.0890153,0.819276,0.00187881,0.137306,0.400919,0.396295,0.206294
4.969070295,1.42043,0.253304,1.06327,0.0137991,0.32518,1.59453,0.878846,0.135865,1.29972,0.00126515,0.0162182,1.25492
5.015510204,1.33332,0.234289,0.523938,0.0159813,0.562477,1.51206,0.2369,0.134391,1.34893,0.00385345,0.0836941,1.33758
5.061950113,1.31569,0.220226,0.391439,0.0131759,0.654773,1.39287,0.14006,0.131006,1.31531,0.00301938,0.211382,1.26803
5.108390023,1.22599,0.301507,0.483866,0.00865485,0.508994,1.1444,0.131059,0.134157,1.32842,0.00242722,0.261325,1.36394
5.154829932,1.21851,0.275959,0.573401,0.0108205,0.500581,0.983412,0.175982,0.145991,1.38089,0.00179136,0.250445,1.50388
5.201269841,1.20118,0.184082,0.667836,0.0596225,0.558335,0.863171,0.174272,0.162341,1.46316,0.0799351,0.324238,1.52802
5.247709751,1.32543,0.256343,0.66442,0.0364582,0.784155,0.554484,0.416198,0.25438,1.41621,0.0323342,0.330147,1.24692
5.294149660,0.91782,0.811442,0.964549,0.0183379,0.728966,0.264526,0.90835,0.376338,1.11064,0.0407267,0.0623403,0.417285
5.340589569,1.49584,1.45256,0.472925,0.152173,0.278143,0.555343,0.884266,0.265841,0.726952,0.0272792,0.376243,0.70581
5.387029478,1.39421,0.426424,0.575411,0.110287,0.125274,0.50501,0.831725,0.306801,1.22539,0.00159712,1.43037,1.00192
5.433469388,0.910526,0.341946,1.08717,0.286831,0.431643,0.548493,0.920032,0.275769,1.12921,0.00090276,1.18351,1.14454
5.479909297,0.641994,0.361252,1.06091,0.282997,0.727174,0.2738,1.07927,0.479911,0.389023,0.00164691,1.48028,0.744537
5.526349206,0.833853,0.318163,0.918438,0.229014,1.02525,0.166266,0.909497,0.365563,0.267542,0,1.81539,0.454757
5.572789116,0.681801,0.289298,0.830862,0.269918,0.995835,0.259434,0.635421,0.296959,0.300307,0,1.52586,0.723086
5.619229025,0.412303,0.373397,1.08047,0.139047,0.530901,0.320065,0.336345,0.338149,0.296454,0.0104447,1.31876,1.06891
5.665668934,0.902564,0.425637,0.903948,0.389467,0.549629,0.055633,0.873312,0.240751,0.202863,0.099589,1.13038,0
5.712108844,1.05175,0.53697,0.759013,1.14286,1.15148,0.435244,0.3856,0.848575,0.937927,0.306825,0,0.10811
5.758548753,1.15076,0.388392,0.477037,1.24816,1.03671,0.221897,0.888219,0.504197,1.11815,0.554429,0,0.0511392
5.804988662,1.13317,0.400295,0.359681,1.18811,1.05968,0.188504,1.04688,0.386146,0.990058,0.728962,0,0.0237779
5.851428571,1.10647,0.324469,0.460483,1.1672,0.985701,0.1585,1.15754,0.285178,0.948459,0.794208,0,0.0845949
5.897868481,0.79035,0.281407,0.430312,1.15008,0.987634,0.263846,1.15934,0.410316,0.850801,0.600721,0,0.133119
5.944308390,1.21081,0.1519,0.289235,0.763647,1.06505,0.204598,1.21262,0.755968,0.596221,0.219509,0,0.696173
5.990748299,1.16021,0.169726,0.4103,0.653382,1.09562,0.240613,1.17627,0.825094,0.620666,0.234471,0.0772472,0.823611
6.037188209,1.18032,0.223995,0.465349,0.810216,1.10772,0.105383,1.20516,0.743381,0.497395,0.237866,0.0508598,0.640989
6.083628118,1.14723,0.267596,0.513798,0.990557,1.00884,0.0262863,1.22509,0.653246,0.510721,0.3937,0.0683863,0.488507
6.130068027,1.27987,0.22177,0.573965,1.15101,0.971925,0,1.06917,0.499388,0.340427,0.453516,0.0140292,0.213329
6.176507937,2.52141,0.452297,1.04088,1.04336,0.858074,0.449333,0.770293,0.00453911,0.201288,0.244451,0,0.159528
6.222947846,1.79864,0.483993,0.993359,0.585323,0.255191,0.203421,0.713108,0.357395,0.491596,0.474238,0.138977,0.228997
6.269387755,1.10972,1.10113,0.754026,0.759917,1.12247,0.365572,0.0922105,0.907331,0.802905,0.0410473,0.000574404,0.341192
6.315827664,1.30885,0.624059,0.580107,0.946323,1.1922,0.224624,0.987731,0.684688,0.797119,0.177891,0,0.150577
6.362267574,1.23688,0.627084,0.442091,0.932721,1.14301,0.160775,1.14199,0.672806,0.698096,0.308289,0,0.0473619
6.408707483,0.959893,0.549188,0.493725,0.683964,1.29004,0.723482,1.08036,0.182456,1.01573,0.183925,0.125637,0
6.455147392,1.54315,0.363025,0.987129,0.171362,0.954641,0.838201,0.974149,0.164273,1.13289,0.184395,0.0200936,0.766816
6.501587302,1.4425,0.250541,0.878779,0.2259,0.413467,1.22332,0.925133,0.156392,1.40921,0.0807363,0.000544662,1.22904
6.548027211,1.53597,0.2123,0.432956,0.131548,0.380048,1.05604,0.515147,0.144457,1.41673,0.00780484,0.13769,1.46802
6.594467120,1.40941,0.40352,0.802944,0.0186325,0.410229,1.01533,0.305892,0.138642,1.37804,0.00118158,0.179472,1.51066
6.640907029,1.3236,0.35836,0.968578,0.0206859,0.614635,0.881864,0.360305,0.173195,1.3885,0.000928755,0.0126893,1.32413
6.687346939,1.01066,0.153435,0.940549,0.205233,1.16076,0.396459,0.809829,0.234979,1.43418,9.39883e-05,0.027612,1.02034
6.733786848,1.07689,0.224057,0.67845,0.713301,1.28912,0.175281,1.13657,0.505329,0.566617,0.100801,0,0.40701
6.780226757,1.15612,0.355939,0.543167,1.21062,0.982769,0.113163,1.40848,0.427119,0.479707,0.444051,0.0358487,0.0382411
6.826666667,1.15545,0.265817,0.584543,1.28512,0.89525,0.0592719,1.39698,0.373402,0.382564,0.529499,0.0838735,0.0832016
6.873106576,1.69534,0.355784,0.609646,1.36368,0.893948,0.0265423,1.04807,0.157541,0.18071,0.395142,0.0899194,0.0835189
6.919546485,2.43554,0.530982,1.0362,0.42884,0.898225,0.0526605,0.789263,0.0283617,0.255261,0.3287,0.386547,0.215262
6.965986395,1.0535,0.763982,0.849791,0.680383,0.86994,0.108494,0.363587,1.1593,0.532588,0.0619704,0.428603,0.237824
7.012426304,1.35475,0.784573,0.622038,0.870732,1.30404,0.249443,0.503421,0.740179,0.794296,0.158824,0.00480479,0.198012
7.058866213,1.44406,0.663158,0.455178,1.04718,1.23348,0.180378,0.905129,0.559014,0.886404,0.294596,0,0.0467277
7.105306122,1.39554,0.597782,0.396526,1.02961,1.13365,0.136262,1.08436,0.491017,0.897828,0.448197,0,0
7.151746032,1.41115,0.498528,0.493684,1.09334,1.0916,0.0910724,1.1279,0.378518,0.862053,0.461969,0,0.0465536
7.198185941,1.35803,0.261818,0.581358,1.13655,0.982992,0.0335298,1.13053,0.450648,0.762442,0.46924,0,0.109853
7.244625850,2.38454,0.647443,0.678956,1.35972,0.898725,0.10238,0.939023,0.137319,0.115234,0.499444,0.226947,0.124555
7.291065760,2.66327,0.652468,1.33764,0.425904,0.428326,0.201862,0.699977,0.108642,0.320241,0.652298,0.337133,0.225838
7.337505669,1.49161,1.08588,0.848937,0.582577,0.852576,0.288625,0.315762,0.949212,0.537597,0.308534,0.210586,0.248832
7.383945578,1.42427,0.690367,0.579576,0.920272,1.26519,0.244361,0.67403,0.596467,0.856931,0.307366,0,0.141461
7.430385488,1.44951,0.650536,0.400082,1.02215,1.19587,0.177964,0.976668,0.50588,0.871539,0.436301,0,0.0475556
7.476825397,1.42659,0.582233,0.431573,1.02331,1.12946,0.121751,1.11893,0.446895,0.85398,0.546483,0,0
7.523265306,1.44266,0.47316,0.513163,1.10148,1.07658,0.0683043,1.14827,0.330825,0.823633,0.560685,0,0.0695149
7.569705215,1.41171,0.306212,0.583529,1.23666,0.902751,0,1.13797,0.344348,0.646572,0.574189,0,0.137693
7.616145125,2.34698,0.677531,0.761778,1.18844,0.873155,0.0182588,1.03735,0.0506756,0.1925,0.381734,0.345984,0.142012
7.662585034,2.17361,0.690341,0.956695,0.367219,0.214633,0.227422,0.860625,0.00482934,0.481827,0.306153,0.452229,0.219504
7.709024943,1.17294,1.29319,0.85488,1.00496,0.99566,0.334312,0.193409,0.890429,0.561208,0.0890456,0,0.29368
7.755464853,1.30596,0.637502,0.619223,1.08083,1.13839,0.203883,0.94812,0.78517,0.550094,0.290755,0,0.099258
7.801904762,1.2585,0.4597,0.426223,1.11872,1.03618,0.156991,1.26191,0.75942,0.512756,0.494421,0,0
7.848344671,1.25236,0.383309,0.481026,1.08279,0.986745,0.13568,1.33677,0.52716,0.453105,0.519795,0.00259643,0.0361567
7.894784580,1.51197,0.376581,0.969371,0.144345,1.0326,0.813568,0.894107,0.129728,1.10413,0.16762,0.114597,0.701414
7.941224490,1.38751,0.286131,0.903159,0.220494,0.406168,1.23814,0.942502,0.112732,1.3876,0.0809143,0.000536276,1.19651
7.987664399,1.48092,0.229341,0.481516,0.119041,0.363109,1.05598,0.632868,0.0975054,1.41365,0.0595072,0.156378,1.41352
8.034104308,1.44984,0.222725,0.773193,0.0170477,0.396221,1.05065,0.417593,0.0957754,1.42096,0.00109875,0.181232,1.46638
8.080544218,1.4415,0.197727,1.00356,0.0199678,0.566327,0.846834,0.361358,0.107148,1.39422,0.000961704,0.0171558,1.29725
